Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4927a9b63c377bcf69575cfa7166307069857f108ce29f0de3d97f5528199674,2017-11,City of London Police,City of London Police,-0.104281,51.516032,On or near BEAR ALLEY,E01032740,City of London 001G,Offender given suspended prison sentence
dc38d3b2e0f7ac8b16f919423e825a92e1e73e980a11b27223a05ffdbf7ccc8c,2017-11,City of London Police,City of London Police,-0.089040,51.512745,On or near MANSION HOUSE PLACE,E01032739,City of London 001F,Offender sent to prison
32ab3c99c3260279fa3a9a966a23ba777313c44f98e51d1b3a11112f5edcf45a,2017-11,City of London Police,City of London Police,-0.086764,51.510307,On or near FISH STREET HILL,E01032739,City of London 001F,Defendant found not guilty
d8883bdde43f58fd2adcfae020a1345b98f66323f0c31d238cc471935340c7f0,2017-11,City of London Police,City of London Police,-0.104621,51.512692,On or near Supermarket,E01032740,City of London 001G,Court case unable to proceed
900c430f551a537006d91476858bbc766ca454224fde40cc596bad5179f80efa,2017-11,City of London Police,City of London Police,-0.095436,51.514890,On or near GUTTER LANE,E01032739,City of London 001F,Offender sent to prison
ce3d64223f92a8dbc91ce132c4b935df8ec41c4428080c738666e0f8581c84a4,2017-11,City of London Police,City of London Police,-0.088203,51.518262,On or near MOORGATE,E01032739,City of London 001F,Offender given community sentence
348c0d4648f05a88b4e3d6e87c6bfe39de7d772eed786cbce9201e053ca16148,2017-11,City of London Police,City of London Police,,,No location,,,Defendant found not guilty
3654c996f10b2e15eac10ecda7a70bd98c15e4b9b2ff4c9fb2522c130c3b28c4,2017-11,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Offender sent to prison
fb507bf74922f9deacbc7107ee779bcf975ce8571398ac3996c91717de1e60c7,2017-11,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Offender sent to prison
cd1ce3297fad976d87056afab37d96b51bff8cf72e866991a0e9b7fd0a4d68e1,2017-11,City of London Police,City of London Police,-0.084566,51.517690,On or near BLOMFIELD STREET,E01032739,City of London 001F,Defendant found not guilty
35b6d8b31dc7d1e60f13bd1a200a49ec42f74671f0ea2b8bf189f312070a14bf,2017-11,City of London Police,City of London Police,-0.095436,51.514890,On or near GUTTER LANE,E01032739,City of London 001F,Offender sent to prison
