Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0e55f0f2a4e9e0c932557c5f530e48980bb22c72cda6e12daa46517cde67d63b,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.247848,52.576374,On or near Parking Area,E01015599,Peterborough 014A,Offender given a drugs possession warning
fa74096b906caff7a112d304793a3b17a6d4ab426456bb74a0de91b8c06ad734,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.165085,52.662010,On or near ELIZEBETH TERRACE,E01018071,Fenland 003C,Offender given a drugs possession warning
82fc3cccf27f014eb4e7e7ac4f95c1038e367776e25bc9d55f6c6add44b3fbfe,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241901,52.234343,On or near WOODRIDGE CRESCENT,E01018135,Huntingdonshire 018A,Offender given a caution
0eef11cc512b9e2b4a08cc3ad49feae005fc59e7780ac2072bd1175c50b443bc,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.171419,52.667025,On or near HARVESTER WAY,E01026240,South Holland 011B,Offender given a caution
0d6c59a978e4577d6d7270d24feee992eef5ae7f8f50801f662e9a95a243bfd3,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.260441,52.595638,On or near Pedestrian Subway,E01015632,Peterborough 010C,Suspect charged
aaca0d0028db347684d5d62e877ed9b1c1ef921895425e92a6adb2f460b745ff,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.275274,52.592780,On or near PENDLETON,E01015661,Peterborough 010D,Suspect charged
f7f20656816c6af8766f992ff5ed9cc1657f1c501b3724836c198f1f66752e78,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.341638,52.147080,On or near Sports/Recreation Area,E01018218,South Cambridgeshire 016A,Suspect charged
8b940e414de0c16db70ac26a07331d339392008950f022b90c24e1dba825b016,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.250717,52.588455,On or near HARRIS STREET,E01015603,Peterborough 010A,Suspect charged
c97150101964bca6e447ea523034c637bee3e7793e52d657366c0c082794f977,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.171666,52.211173,On or near MEADOWLANDS ROAD,E01018286,South Cambridgeshire 011D,Suspect charged
9e24444a51b320d860700d0c4fb0c9ed54d7cd67d136a2026666c120e527cbf3,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.260152,52.227852,On or near Petrol Station,E01018183,Huntingdonshire 021C,Suspect charged
0d995dd963926fa7105db773d3533b4217724a2c0a7771aae46a1bb3a8d75256,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.174277,52.317701,On or near GRANARY CLOSE,E01018132,Huntingdonshire 014B,Investigation complete; no suspect identified
35f373fa0206bcf95dfe3fcd99f182f38ca4fde1836394be9d51596c8898159b,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.135917,52.154628,On or near ABBERLEY WOOD,E01018294,South Cambridgeshire 012C,Investigation complete; no suspect identified
695bad645788a8cf9655ba08f4be0897467ad0bde179c21ca6b8700870699040,2017-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.267008,52.541834,On or near HOLLY WALK,E01033181,Peterborough 022E,Investigation complete; no suspect identified
