Crime ID,Month,Longitude,Latitude,Last outcome category
6e934f232e8f77f709a994bd4e3512d4b8a106143d015609b4ac00f47eb73ef7,2017-01,0.169174,52.216506,Investigation complete; no suspect identified
f05e40e7b8131163194c1508bea178abf2e02b7121218c25b2daa365fd1903c4,2017-01,0.132022,52.206168,Investigation complete; no suspect identified
5ba576cd5489ebb253d3a9a2e007742f7414cb49377b6bcc0c9ae7ae95fd0ba4,2017-01,0.132022,52.206168,Investigation complete; no suspect identified
bf6749093939521fb7ea109437954f6bc94274d1fcf716638e2b921479840b5d,2017-01,0.08864,52.209272999999996,Investigation complete; no suspect identified
55e6bd7b4c2c9d85c9faeee98fbb3899a21c158a48160fa99df57546c0a7f8ca,2017-01,0.095353,52.209773999999996,Investigation complete; no suspect identified
bc2f53c319911eca44662e3027d32e70b5697d8abb2dc026cf1a83f5180fb84b,2017-01,0.105563,52.200969,Investigation complete; no suspect identified
6936110c4fd0f35aa1beb269ad095afcb07b8e23dbf6c8425992b7c27a0cbd4b,2017-01,0.11625999999999999,52.202801,Investigation complete; no suspect identified
107a03a9228b1c054d6873e8dba307b4f41ce197f31addcdf9db97f95d95d139,2017-01,0.10260599999999999,52.202182,Investigation complete; no suspect identified
e67f8d54b22a6675c869b218d5e8d332beddd2262f32cd374c181ee257326e7b,2017-01,0.110239,52.20299,Investigation complete; no suspect identified
80cda4d6964f89251280249815aee8fc61a39f1ef57db4fe8e549769259d88bc,2017-01,0.126325,52.203025,Investigation complete; no suspect identified
ff14f309a8060e4af7f043244327b00d65984a123a5ddd87d0276259fb816fce,2017-01,0.12150899999999999,52.198391,Investigation complete; no suspect identified
aafd7a480a91ae14fe7cefed7e22727cf8e0dd595ca95cf00d84a04def2c3a1b,2017-01,0.120621,52.203721,Investigation complete; no suspect identified
8caaf6c8a82a36885889354ff9811b92fa192cfa8df7b4f012950f1a4fe19b8e,2017-01,0.12315999999999999,52.202956,Investigation complete; no suspect identified
0c7d0b4e59d2e7b3406d6d9fadfdbabaab4f151e9fec15c424cef8bc8a31423a,2017-01,0.123776,52.20451,Investigation complete; no suspect identified
9f581471a7e2467061abc64fe36ef68d3edaa104e2fc4af8995ee8d084a31b61,2017-01,0.11883900000000001,52.205632,Investigation complete; no suspect identified
489db5f392e1299dd4da08da78e8e1762dcf919e9ddf6993b58c0d94bda8ab1c,2017-01,0.11883900000000001,52.205632,Investigation complete; no suspect identified
146014f3af6bc3e33ae883591e7b2ac24735b4789ee633e3a62a1f923a10be01,2017-01,0.118181,52.210266,Investigation complete; no suspect identified
dde3e6648f6fe4e2f58ce4c8919d73deabea1eab0f6a18685e1b52f5e20130cb,2017-01,0.12090699999999999,52.200497,Investigation complete; no suspect identified
17e3ba8e599710998b61112ff6787885e08acdd0bdc07d329b515437402f5ab2,2017-01,0.119789,52.204689,Investigation complete; no suspect identified
aa7e4cb3a375300983d4e0ffc200b70fbf9fd6d875cb2320ddb3c8e0112235a7,2017-01,0.12396099999999999,52.205315,Investigation complete; no suspect identified
1f69222e7b7a8b2b6c9bfbd0fe319b6f528b36d1b1d3828d4525ddd90d0b0664,2017-01,0.120396,52.200227000000005,Investigation complete; no suspect identified
ab0562b550278d844d2c335eea283151c134a876e52817285aad588fe590ddd5,2017-01,0.122052,52.207957,Investigation complete; no suspect identified
d803be49403fa3a7fb80bd555fc8c34672df9da8fd75ed1fcf04317e86cd2bdf,2017-01,0.119698,52.207074,Investigation complete; no suspect identified
f8f4b99fea7d92bb88c51a0a2994e33bbdd01978075869934e5173e77be89769,2017-01,0.12150899999999999,52.198391,Investigation complete; no suspect identified
636ceaae36b00bb700676f99e17fed443f49835f116c2b2ff9d6cbcae9903143,2017-01,0.119698,52.207074,Court result unavailable
f8234d7bc04e1c1727baf0a34f5bc18b5804e6c2fd6dd8846cfef65f4c1182e8,2017-01,0.11921500000000002,52.209231,Investigation complete; no suspect identified
1054f653977b592fee16a4d95e6afbaecdf81f6eeb23cd4b703488c64bdcc3a6,2017-01,0.121326,52.204688,Investigation complete; no suspect identified
e16688c870c0843e1e091c08e009de20f1c9c86eda7ea2ffe2a2b945b1b246ee,2017-01,0.12595399999999998,52.200784000000006,Investigation complete; no suspect identified
0305cfad3095eaade57fa9cc0aa12624316fe610bce27974266aabef12bd7a74,2017-01,0.121531,52.202859000000004,Investigation complete; no suspect identified
efebf04ef4b525e769c6a8ccd2bfdb8050cdecb586f96e626456f1ee400b9a2b,2017-01,0.13061199999999998,52.204233,Investigation complete; no suspect identified
0c0fe7fe6b986a5e0f9d13a5be25f07c74399510513e1d63f8283fcde1326ba4,2017-01,0.11921500000000002,52.209231,Offender sent to prison
59b3adfc7fcb5b717538c8f6eb7568ad29063ae636c250c3dd9c2f838f107675,2017-01,0.12084400000000001,52.201334,Investigation complete; no suspect identified
64cafb67935f102d9a2ae18cbe0d13b6b902ba75d1973977a9bd97a2274eecd1,2017-01,0.125904,52.204624,Investigation complete; no suspect identified
9fe6d2185e8c1224c2a7e857319d1f832144b583f46c40e1cbccae6e7e34188a,2017-01,0.121531,52.202859000000004,Investigation complete; no suspect identified
340f687bd1fbff492581cf17ab15a4e10daeca18c7bea18e5712470fe53ebf95,2017-01,0.125165,52.201418,Investigation complete; no suspect identified
71e7f570250701a4028a44bedad0819c6a05a3ac288055a59c215970e60344b9,2017-01,0.11921500000000002,52.209231,Investigation complete; no suspect identified
c7ec424cd070cadca6f46a6866fcfdc17ae22244f5d6adb92325fcfb773b3280,2017-01,0.123776,52.20451,Investigation complete; no suspect identified
5d571df09587e7e0fc50500ba35a13ee9857f278b0b73501ee8b6b724cab8d54,2017-01,0.119698,52.207074,Investigation complete; no suspect identified
b26aa09281fbb1481721986720188ca4189631a4a3622696aa3d3b00284991ab,2017-01,0.121531,52.202859000000004,Investigation complete; no suspect identified
c843cc20491382e668391b2488e1a131481cdadb1bec27ba68f6bf2d33bd5287,2017-01,0.118701,52.208269,Investigation complete; no suspect identified
d4391ff8c32422e2f3577ca37ac41cd46bd7e6c21e89e390a72bae667f3d45a0,2017-01,0.125708,52.202973,Investigation complete; no suspect identified
3dc1656b4f295e2330d4e23f8f8672a6e0fd374a0846ceda4280e1245f463541,2017-01,0.123776,52.20451,Investigation complete; no suspect identified
82819b293ff89db56450788bb911add4401112adb532cc4033e53cba485111bb,2017-01,0.12719,52.207352,Offender sent to prison
0fd34a11248278dab52058a1e4113f028c714473d43bd95638aed982df4664da,2017-01,0.13061199999999998,52.204233,Investigation complete; no suspect identified
aacc17717a516c41f1a6f2556bdd638d1978f11ab03a23152ef9fd715123da9d,2017-01,0.11783099999999999,52.204454999999996,Investigation complete; no suspect identified
66475d97ab8570391a78ec39e8f642e8209f56496092a4a761d8da7c57946336,2017-01,0.118701,52.208269,Investigation complete; no suspect identified
