Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5dfefd0c2cbc82f08a40c5cbcd53f2b049aa07b0a3fcaae6e059daf314d82d65,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.111751,52.255538,On or near ORCHARD ROAD,E01018257,South Cambridgeshire 006A,Unable to prosecute suspect
3a36a28dce4116b7642dabda49ce6aa97eb1b2bb0af4125ee60ea5f744f3bd7a,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.076301,52.554364,On or near HARVESTER CLOSE,E01018087,Fenland 009C,Investigation complete; no suspect identified
b9381e6fce129d92acd88d3cbfca2a76e549f4841d0ab80ce47988362aa05395,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241092,52.580338,On or near BURGHLEY ROAD,E01015602,Peterborough 014C,Investigation complete; no suspect identified
30d355b1c8e3101cfb79b21cd77814f12435327977400dd5e15464a49e664824,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129337,52.203285,On or near PARKSIDE,E01032797,Cambridge 007G,Suspect charged
a9e51fef501f8458f7462a3eff09d3827b0d30ad62fcf5de96c4791cb9fef3d2,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.121038,52.234583,On or near STANLEY AVENUE,E01033121,South Cambridgeshire 006H,Investigation complete; no suspect identified
b19a0ffc83ac3481bc4196249059bb7a28a654b604a06f5c43f7973827ae8be6,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284534,52.591935,On or near FLAXLAND,E01015594,Peterborough 011C,Investigation complete; no suspect identified
a2a2a8a5524e949ee671b62b36f3b4f720b46aae8cbda01f3f97148dd0cd79ec,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.189803,52.609352,On or near MALMESBURY DRIVE,E01015619,Peterborough 005C,Offender given a caution
106043c7321f6f9c56297e338596c1002619fd4b3cae5297c3c8157720218d60,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.247123,52.612300,On or near SQUIRES GATE,E01015659,Peterborough 003C,Suspect charged
93476d2bed7b6818b7be13b96bee833857706d2b610d5f3bb2bac3671bb133cc,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.177158,52.341483,On or near POPLAR CLOSE,E01018145,Huntingdonshire 008C,Unable to prosecute suspect
b063f11f007dea85b0321feb00aec07918b5cef73377e033d3df6bf675c76922,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.393450,52.523478,On or near B671,E01018128,Huntingdonshire 002B,Investigation complete; no suspect identified
3bcee2ae11f3e3f1f4f36ffd849028d7aa8f9caf61456f4ca750ba05e8b11b5d,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240338,52.560465,On or near SPRINGFIELD,E01015621,Peterborough 017A,Unable to prosecute suspect
522539096a582cfc31c5d880b743ab7582202c4f30e9c8a245cd8e6ff4296e95,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.028453,52.249410,On or near CHESTNUT RISE,E01018222,South Cambridgeshire 005B,Investigation complete; no suspect identified
69826bbc8b0c15d0f2fae4e680ce1a272e1d13414ad2156a0f507ec44860b2fd,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.123906,52.190965,On or near QUEENSWAY,E01032794,Cambridge 012E,Suspect charged
c1614979674445ede1871335afedd22314fe00da05434f2a9491ef188d307fcd,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.013676,52.250796,On or near PHEASANT RISE,E01018223,South Cambridgeshire 005C,Investigation complete; no suspect identified
1d76d6189ad5dd152d7e7f750604031eba124b47fa264757761fc010a10ddf02,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.154462,52.670934,On or near THE LAWNS,E01018093,Fenland 003E,Local resolution
92a84374cb6ee4354baa30c27fb14203b6ee5932d75145d8e485361b88a29cc7,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.218032,52.576486,On or near ROUNDHOUSE CLOSE,E01015616,Peterborough 013F,Suspect charged
db70d27cf3e0c51e7340a64bf7af7477ba220a63114076fa4d887750d4b5f886,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241137,52.574809,On or near Supermarket,E01015599,Peterborough 014A,Suspect charged
b91f7507595166f6b130028bb78aa6f69f11dc65ed833d0f82df337bd1418186,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.122570,52.203776,On or near Shopping Area,E01032797,Cambridge 007G,Suspect charged
e6412918154a6bfaf25370547bd4c8ccae734dd72cfa56daf586313c9c1f27ef,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.122570,52.203776,On or near Shopping Area,E01032797,Cambridge 007G,Suspect charged
d00419d757d5888e138895a9132c88cec0b7cc3e5bc20089645bd5ec729b0621,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.122570,52.203776,On or near Shopping Area,E01032797,Cambridge 007G,Suspect charged
88473fa5ba2b05faba5f319ea85aa10f6326f83e494fd234bdd81a2ed2cdfd84,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.184685,52.331915,On or near Parking Area,E01018151,Huntingdonshire 012E,Formal action is not in the public interest
87ba37adebf1c2e8a9eb22b3306370d51b3a94caf2dee61fe949c6c7f8622734,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.189167,52.336434,On or near CHERRY TREE CLOSE,E01018150,Huntingdonshire 012D,Formal action is not in the public interest
f3b95daecd36575742fbe618114c28c63edad7df5009b9e60336bbc7d589bf25,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.067385,52.310346,On or near SCHOLE ROAD,E01018307,South Cambridgeshire 001D,Unable to prosecute suspect
6e01a686eb28066a6cf9073a1b7afff9adbdcfcb502b499b0589cf310a087133,2017-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.219966,52.587035,On or near BROAD CLOSE,E01015615,Peterborough 013E,Unable to prosecute suspect
