Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
35567599078be617f70e6023056c11b28265c009b4535853b80c8ec531cb198d,2017-02,City of London Police,City of London Police,-0.092517,51.520580,On or near WHITECROSS STREET,E01000002,City of London 001B,Suspect charged
f1e3ffdb436f5acf93a2209a98dfd01acfacfa7d13ed3a81021fb71cf29f34bb,2017-02,City of London Police,City of London Police,-0.102721,51.515404,On or near ST GEORGES'S COURT,E01032740,City of London 001G,Formal action is not in the public interest
fefda442a2ff164b75f15e41fb1ccfca1bc958fd77cb59d3b1a321aabf7cab54,2017-02,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Suspect charged
095480d0f5f62343535eb0a081435c3a9c2fb1c82e7b6c215c6bcfcd2248f15d,2017-02,City of London Police,City of London Police,-0.081091,51.516014,On or near CAMOMILE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
646c399d5dd989f74052a76224437240efec056749f832b645abf1fcd4719ed1,2017-02,City of London Police,City of London Police,-0.086051,51.513569,On or near FINCH LANE,E01032739,City of London 001F,Suspect charged
135059e23de7ede7627ba6080a9d7daaf5eb3079c19ad11d2e501bc61483bb1c,2017-02,City of London Police,City of London Police,-0.094197,51.510734,On or near KENNETT WHARF LANE,E01032739,City of London 001F,Local resolution
e40140f01d4a4b4429eaff1217c22deb877b715a0abea83e9ab41a27c3f2241e,2017-02,City of London Police,City of London Police,-0.080782,51.514804,On or near ST MARY AXE,E01032739,City of London 001F,Suspect charged
1d76514db239642a7dd99bf2d739fa5dbf6d0b4e955da6dd4a6520c95547bf8e,2017-02,City of London Police,City of London Police,-0.083972,51.510549,On or near LOVAT LANE,E01032739,City of London 001F,Unable to prosecute suspect
c3ab391bce7155919b9a3d8c36a19db84b5c46b9bec25eef905399bfa2643b37,2017-02,City of London Police,City of London Police,-0.079283,51.511021,On or near SEETHING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
209b737bdf875f041d843f02bbcc616b3d5e9b03ea441097dfd4f10a2b65d0aa,2017-02,City of London Police,City of London Police,-0.077451,51.515523,On or near WHITE KENNETT STREET,E01000005,City of London 001E,Suspect charged
e385185de8bab165a01fd3a289a9dc8f83aa95947c56bbffc9f0102066c5c321,2017-02,City of London Police,City of London Police,-0.096385,51.510787,On or near GARDNERS LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
817bf3caf426449ad0c4057469fd64cc53d06b266e5ae30c54ee3edbbff724a4,2017-02,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
d76839400ad343dc09d86c28617f4d7ac14061afcd63420ac68cf538e56a5ff8,2017-02,City of London Police,City of London Police,-0.080782,51.514804,On or near ST MARY AXE,E01032739,City of London 001F,Unable to prosecute suspect
df9b0b3fa2936f812891e6189ba1bfb1e9ab587dd0d86419a313e1ca06985b8a,2017-02,City of London Police,City of London Police,-0.080665,51.509344,On or near Pedestrian Subway,E01032739,City of London 001F,Unable to prosecute suspect
565c84352f64b43eadb749bfb09043da6029ca42564031bf39d719b0230a2c06,2017-02,City of London Police,City of London Police,-0.086624,51.511923,On or near CLEMENT'S LANE,E01032739,City of London 001F,Unable to prosecute suspect
a52775be7b4bbd52adfd7c1c166bbc7b88b6f45f50aeefd37fc39650018ae7e8,2017-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
99a420e135c202d84a6717bafa6ad70f2673b66df6996a8188c26b7eb3f4df33,2017-02,City of London Police,City of London Police,-0.084199,51.513394,On or near CORNHILL,E01032739,City of London 001F,Investigation complete; no suspect identified
6943217ba18bf28001b480df45879e9f88933cc4382caf20676eac6cc6ec0126,2017-02,City of London Police,City of London Police,-0.084095,51.516900,On or near NEW BROAD STREET,E01032739,City of London 001F,Unable to prosecute suspect
d64b88ad325b1ef552cca21982b63e2e0df78b0877ce645a59d8e24f78dd92db,2017-02,City of London Police,City of London Police,-0.083695,51.512352,On or near LIME STREET PASSAGE,E01032739,City of London 001F,Unable to prosecute suspect
d37ca60f6f7c72579fae852a3f33079e0c1b7fbc1219576ac4fe046f97e1b517,2017-02,City of London Police,City of London Police,-0.096511,51.511922,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
a7b34d98a50de3528930519e7d5003ccb95017a429e9f00ae001ca2b95248c02,2017-02,City of London Police,City of London Police,,,No location,,,Suspect charged
288446c260923ce843a7fc9bd1975d34fe8e3bd918df766729042fae5af083d7,2017-02,City of London Police,City of London Police,-0.088233,51.515484,On or near TOKENHOUSE YARD,E01032739,City of London 001F,Unable to prosecute suspect
dfc1c553e64823b49ee0a914f64ba305e4092489ee88b6974da31dccdcfb9a26,2017-02,City of London Police,City of London Police,-0.102380,51.517728,On or near HOSIER LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
ad468501310376966361dae6bb0b34810e2b942e0b01bdbdc71748f7c451de81,2017-02,City of London Police,City of London Police,-0.109709,51.517909,On or near HIGH HOLBORN,E01032740,City of London 001G,Investigation complete; no suspect identified
50eb0aa7d0c9aaea5d9373e525f44a709fb7c560ee8e6bd2bd34651766931e8c,2017-02,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
0dbf72f1caa1d575ab9ec703fc46406a58da88b0f495da5406909b5a0826bd44,2017-02,City of London Police,City of London Police,-0.111242,51.516738,On or near TOOK'S COURT,E01032740,City of London 001G,Suspect charged
