Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
236c9fcd5817b7c19f53b33eb3acf9063f9ae58e1ea5f71f871d020919f3a89d,2017-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.292083,52.223382,On or near MARQUIS CLOSE,E01018180,Huntingdonshire 022D,Suspect charged
632781177ca93dd4438c8b59ae7d0d483fb500de0e47e775defebc85e53ed958,2017-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.231894,52.543365,On or near A605,E01018212,Huntingdonshire 001A,Offender given a caution
6cc5b7be9a68a001ff52cdaf1647858d7d80e749b090a8fedc3439cc31fb6566,2017-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.283324,52.585120,On or near CLEATHAM,E01015594,Peterborough 011C,Investigation complete; no suspect identified
4ed56d297e044d2f9bcf3b4bbc7a7f2c44c342157fe21ae670807c3909f5aa0d,2017-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.212472,52.334712,On or near THE POPLARS,E01018148,Huntingdonshire 012B,Offender given a caution
c7687f1ebdbd240d06f9eb0815c294a195bee40cd3c02374d94d2b8ccad72ce6,2017-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.010084,52.351132,On or near Parking Area,E01018124,Huntingdonshire 007D,Unable to prosecute suspect
a02af6b79c16a93468414c6ae940ef32eae6a5f8534e32adbfc734bbd3741e17,2017-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.063736,52.329823,On or near SHEEPFOLD,E01018167,Huntingdonshire 013B,Investigation complete; no suspect identified
5c5ae5b74b88fad2a4835cd1f88180537ffeff645a92f991d795ab76ad7bd26f,2017-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.241630,52.241301,On or near MILL ROAD,E01018011,East Cambridgeshire 009A,Investigation complete; no suspect identified
6c8b0e8ca6e7443710f1267cea3d2f8f157f1a3b88b6d100d9db7661a224b580,2017-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.410501,52.310629,On or near THIRLWALL DRIVE,E01018035,East Cambridgeshire 007B,Unable to prosecute suspect
3d1d0501436fcb02257389cc1c9658f373be47cd07e8c0e45ff30f2168e4fbbf,2017-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.154507,52.650200,On or near ANGLIA WAY,E01033111,Fenland 003H,Unable to prosecute suspect
72069eb3985d8a43d92eeb2f391be71eccec5001c4ea907bb9b5c6615e281fc4,2017-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284019,52.236968,On or near B1048,E01018176,Huntingdonshire 020E,Investigation complete; no suspect identified
