Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e2112a90cf3a9ae00b1dc627b0639890610881295a2dd419b96c2dc3b7f098e4,2017-09,City of London Police,City of London Police,-0.077578,51.510795,On or near PEPYS STREET,E01032739,City of London 001F,Suspect charged
19b43cbddbdd03527d85e8d945f70dfeb22243b7c0733296c844c6f4763899b4,2017-09,City of London Police,City of London Police,,,No location,,,Suspect charged
348c0d4648f05a88b4e3d6e87c6bfe39de7d772eed786cbce9201e053ca16148,2017-09,City of London Police,City of London Police,,,No location,,,Suspect charged
f191876f5de29ecba521f8bc15002b6ebae603b98729d0c6d07c0120bb921f02,2017-09,City of London Police,City of London Police,,,No location,,,Local resolution
f191876f5de29ecba521f8bc15002b6ebae603b98729d0c6d07c0120bb921f02,2017-09,City of London Police,City of London Police,,,No location,,,Local resolution
0b609e379983f93e5b41f8a7af3d3b2f75f7c326ca15413d792d8d5fb7bf227d,2017-09,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
c7bc17e90d419a7445ed769fd54dff68098bba987d515c85cc92b29b0defbb5f,2017-09,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
42c8b6400e887a10be9f6cff2d2cbf8ded4d83bf3d6d4977ccdc4dbee89b4210,2017-09,City of London Police,City of London Police,,,No location,,,Offender given a caution
0454c9e0bfb41dcb7c2892910953e43a01345bf593ae592d418335bbc6fc9d41,2017-09,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
474cbe1ca57e6687b5ff633909979f9536f7db4889461c1cb6e24198c81d84c3,2017-09,City of London Police,City of London Police,-0.086624,51.511923,On or near CLEMENT'S LANE,E01032739,City of London 001F,Unable to prosecute suspect
52f200b0dff9713895a8667866a98dfe03a14474da63fdad10ed4b6f541a0658,2017-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
da578dbee2ad2c246d9ea8f7fee52a8e331343a84d3e247dcd31d461ffb96b2c,2017-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
58a02b0526d4f27894abee2624d9ca3bc71ca0cc55f354cd675b4b2a11f6041d,2017-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
