Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3efa244b9a7d68234a24bd343c0b4400f63984d6e6414183024be66b34cdd903,2017-08,City of London Police,City of London Police,-0.092517,51.520580,On or near WHITECROSS STREET,E01000002,City of London 001B,Investigation complete; no suspect identified
107f558b5a81996df22acc46552d602c61fa1a83bd711aa75eef619a71cafaee,2017-08,City of London Police,City of London Police,-0.083242,51.512165,On or near LIME STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
41a4e32ce0aa31b80d5a81c06f1d589eb53d83833743dc400d89ccae39cb5f8a,2017-08,City of London Police,City of London Police,-0.083296,51.517058,On or near OLD BROAD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
a208fd66544f80d5114272505697a4b2e6ba3c248f66b8771eaeef53b39078c8,2017-08,City of London Police,City of London Police,-0.090348,51.519358,On or near MOOR LANE,E01000002,City of London 001B,Unable to prosecute suspect
1cf5194e12d500ecef17b51a2c92cdfe21fc0cb41069d812e4ac437485261148,2017-08,City of London Police,City of London Police,-0.092517,51.520580,On or near WHITECROSS STREET,E01000002,City of London 001B,Investigation complete; no suspect identified
59d1b8d8ff9e281d3d8031b51b17fd906b55d52e73dbe45201316679a0b66393,2017-08,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Unable to prosecute suspect
f6033e52e6fb40a74b90ddd5a2007fb1610c09adc3f68991cb9a5cea8da16302,2017-08,City of London Police,City of London Police,-0.109709,51.517909,On or near HIGH HOLBORN,E01032740,City of London 001G,Investigation complete; no suspect identified
4ed41769cbfa8885d7c24d730e09aa7cf7953e5a70c635f1aa82ed32d2e5c033,2017-08,City of London Police,City of London Police,-0.109155,51.516668,On or near FETTER LANE,E01032740,City of London 001G,Local resolution
c8530d64a924de7b617fe899ef726c5cbdb66d6ad5ff26787842121a4f49a63e,2017-08,City of London Police,City of London Police,-0.098642,51.517146,On or near LITTLE BRITAIN,E01000001,City of London 001A,Unable to prosecute suspect
7626b188465fb404338e3603503c668c201fc3dd4c9f6ce15c7064c4bf1aa200,2017-08,City of London Police,City of London Police,-0.088995,51.512088,On or near ST SWITHIN'S LANE,E01032739,City of London 001F,Suspect charged
8f3e0ac61ccb096639adeb2232f387eddb78768f6cc006e06f1f07f4bcefe5ae,2017-08,City of London Police,City of London Police,-0.101055,51.513552,On or near CREED LANE,E01032739,City of London 001F,Offender given a caution
d147e84f0fad6f3f788011a36af83d91da5c8564d7c3b895799916828d6cc91b,2017-08,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
20b6ab005664b22669e45c8206b7d0a9b05558196083a7734d34dc3fd2c1869e,2017-08,City of London Police,City of London Police,-0.094628,51.514203,On or near CHEAPSIDE,E01032739,City of London 001F,Suspect charged
e6600b75c990dd8d72531fcab9db802254e949f635dc60965b96be9e701b3518,2017-08,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
7fe4b91a59fa0c100840dd9c098dbc354307eba99bbe1a8676c771463a5227bb,2017-08,City of London Police,City of London Police,,,No location,,,Suspect charged
2919f825491fbcb4fd298a906bce013e2bd6e65d8274ba259ce54790d3463cce,2017-08,City of London Police,City of London Police,,,No location,,,Suspect charged
f62f9b8daecff313571837f7afc9dc79e2ee3851253ada4da445b23b22e089ee,2017-08,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
cde4ca70587ad8fca0887b28121db03ddbc0fb322372c3f8223370a785262d80,2017-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0c34e4f0da200d7e7a2aea41e8ca36ffcde0d22fb0ab9fbbdd3b649088a1f08f,2017-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6cf9871de21d3a0c283b9bc0a1db24d46553b383faa5cc9a9141e8d42838e9ca,2017-08,City of London Police,City of London Police,-0.086764,51.510307,On or near FISH STREET HILL,E01032739,City of London 001F,Suspect charged
35b6d8b31dc7d1e60f13bd1a200a49ec42f74671f0ea2b8bf189f312070a14bf,2017-08,City of London Police,City of London Police,-0.095436,51.514890,On or near GUTTER LANE,E01032739,City of London 001F,Suspect charged
900c430f551a537006d91476858bbc766ca454224fde40cc596bad5179f80efa,2017-08,City of London Police,City of London Police,-0.095436,51.514890,On or near GUTTER LANE,E01032739,City of London 001F,Suspect charged
72673c3e8b23cee3f937097e58feca73494fc8afc10f4f56caf5d6c9e12df355,2017-08,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
9581c2416835094771bd78f5a57b65b61c504e0b239528f4c7ce52613c4aa703,2017-08,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
aad8f637ccaf198afcc0b0a708da31aa9d58142d746dd54364fe273f59e4bc9e,2017-08,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Suspect charged
f82061796125db68dbcb698b642bf7dd46b7c5d2354a4dba7e50ffea738ebe72,2017-08,City of London Police,City of London Police,-0.025145,51.517217,On or near BURGESS STREET,E01004272,Tower Hamlets 014D,Suspect charged
b2936dee9301cd3b38e3a2ac14694a69244eea527135e88adae80687da2a56dd,2017-08,City of London Police,City of London Police,-0.086764,51.510307,On or near FISH STREET HILL,E01032739,City of London 001F,Suspect charged
093840b6132df8801503c8862c289e897df6de67a65764c1ed0b5818ae9eb3d8,2017-08,City of London Police,City of London Police,-0.086728,51.510477,On or near KING WILLIAM STREET,E01032739,City of London 001F,Suspect charged
cb3a3c183af3d99977df114155bc39c06bcba77cd96ff0fab15dd1067616c50a,2017-08,City of London Police,City of London Police,-0.088473,51.518374,On or near MOOR PLACE,E01032739,City of London 001F,Suspect charged
cb3a3c183af3d99977df114155bc39c06bcba77cd96ff0fab15dd1067616c50a,2017-08,City of London Police,City of London Police,-0.088473,51.518374,On or near MOOR PLACE,E01032739,City of London 001F,Suspect charged
1131660c8708f43630c7b6f8ff38ccd72bacca1175ed7ef667f80147f47b90e6,2017-08,City of London Police,City of London Police,-0.104494,51.509848,On or near A201,E01032739,City of London 001F,Suspect charged
00ed50455a724586f2236217569fd9ed84476b5fe0830f51e8b49cd4810d161a,2017-08,City of London Police,City of London Police,-0.079011,51.509614,On or near Pedestrian Subway,E01032739,City of London 001F,Suspect charged
064fb1504b8c25e96f0aee4df8c8d972911e330b29712def3e5c6eaa2aa17c68,2017-08,City of London Police,City of London Police,-0.079011,51.509614,On or near Pedestrian Subway,E01032739,City of London 001F,Suspect charged
7bc0a92ff8fc7bc34b4ea9af512658b0f6151bad2258159d9944e8232a54b1ad,2017-08,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Suspect charged
61cd45a977ee1752313cf05a3318b1e59159f78929a47f7e7d26205f81d7d941,2017-08,City of London Police,City of London Police,-0.088995,51.512088,On or near ST SWITHIN'S LANE,E01032739,City of London 001F,Suspect charged
9a40ed6338cd1c1dcb6e0492a235bcfb593bdaa8cec858c9527ce97cd7b0de4f,2017-08,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Suspect charged
93ed1753a4ce7ba86a9437c46f09d4fdc943467c87794ab738bae25e5f6a0765,2017-08,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Suspect charged
4a039efd20b8aff9b3590ab74acd1aeaee1c98d1965ab266e21f0a7263982896,2017-08,City of London Police,City of London Police,-0.094464,51.512959,On or near WATLING COURT,E01032739,City of London 001F,Suspect charged
cdcd640cdc544ffaa604c95e8dfb76f837217ebc6149bd64f25fe73a15808d76,2017-08,City of London Police,City of London Police,-0.097277,51.515307,On or near ST MARTIN'S LE GRAND,E01000001,City of London 001A,Suspect charged
e4d020e03df958345984558aafedb6207dc350adf368aa1cfaf7518a23c6917e,2017-08,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
cdcd640cdc544ffaa604c95e8dfb76f837217ebc6149bd64f25fe73a15808d76,2017-08,City of London Police,City of London Police,-0.097277,51.515307,On or near ST MARTIN'S LE GRAND,E01000001,City of London 001A,Suspect charged
cdcd640cdc544ffaa604c95e8dfb76f837217ebc6149bd64f25fe73a15808d76,2017-08,City of London Police,City of London Police,-0.097277,51.515307,On or near ST MARTIN'S LE GRAND,E01000001,City of London 001A,Suspect charged
841cb91bc2f740562f9dc23aa3a6cbf6b718add469668ac36d9bb419f69aa9d7,2017-08,City of London Police,City of London Police,-0.082965,51.516351,On or near WORMWOOD STREET,E01032739,City of London 001F,Suspect charged
ed969328534320f70454b92c578b12410cc794e6052eacbbb102ee45be245af7,2017-08,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Suspect charged
ae1598e0db47720e0d456f60ffc4d9f24fee75c0c3638b7ede9956903b4151b4,2017-08,City of London Police,City of London Police,-0.077451,51.515523,On or near WHITE KENNETT STREET,E01000005,City of London 001E,Suspect charged
868dad6a25a46a9fe1db185ee1e72350c148230416528469823d5018eaa28b81,2017-08,City of London Police,City of London Police,-0.080665,51.509344,On or near Pedestrian Subway,E01032739,City of London 001F,Suspect charged
5f7771aaa73f6f01f8f964bcffa32d49c730702ca60e57da59610eceac3a9dd8,2017-08,City of London Police,City of London Police,-0.088473,51.518374,On or near MOOR PLACE,E01032739,City of London 001F,Suspect charged
450b95a70d89e0cafd7b2f408bd5e24d98a100311c6048c33086a0a54ecdbb0a,2017-08,City of London Police,City of London Police,-0.087549,51.514276,On or near BARTHOLOMEW LANE,E01032739,City of London 001F,Suspect charged
8ae8015e3a969cc671ad1a2090c2e6510f16a118c80155150d3cb0fdc08093a7,2017-08,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
a13b01c65a343ae59ff734639b132ae8e89a3d3519fe44fb77dafbe572e964b2,2017-08,City of London Police,City of London Police,-0.085355,51.510563,On or near PUDDING LANE,E01032739,City of London 001F,Suspect charged
18e00f9aa32fb0691c659deb543eaa4fc6eaabb8d8256c218a4bc317e2595cf3,2017-08,City of London Police,City of London Police,-0.086624,51.511923,On or near CLEMENT'S LANE,E01032739,City of London 001F,Suspect charged
20b6ab005664b22669e45c8206b7d0a9b05558196083a7734d34dc3fd2c1869e,2017-08,City of London Police,City of London Police,-0.094628,51.514203,On or near CHEAPSIDE,E01032739,City of London 001F,Suspect charged
20b6ab005664b22669e45c8206b7d0a9b05558196083a7734d34dc3fd2c1869e,2017-08,City of London Police,City of London Police,-0.094628,51.514203,On or near CHEAPSIDE,E01032739,City of London 001F,Suspect charged
44e8ed8547b2698aa2a5f89ce100fc0cbff83850c7ac12e6ea582eb60b3a9a54,2017-08,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Suspect charged
ce3d64223f92a8dbc91ce132c4b935df8ec41c4428080c738666e0f8581c84a4,2017-08,City of London Police,City of London Police,-0.088203,51.518262,On or near MOORGATE,E01032739,City of London 001F,Suspect charged
7ac1fda941c1e11267007d87db9c1173c899b791a542da56c14c856994246d5f,2017-08,City of London Police,City of London Police,-0.092268,51.514461,On or near KING STREET,E01032739,City of London 001F,Suspect charged
